Condition;QuestionId;QuestionText;Scale;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10
Big;A1;How mentally demanding was the task?;tlx;2;4;1;3;1;5;1;8;1;5
Big;A2;How physically demanding was the task?;tlx;4;5;3;1;4;2;5;3;8;1
Big;A3;How hurried or rushed was the pace of the ask?;tlx;2;3;4;2;3;9;4;3;5;2
Big;B1;How strenuous was the task?;borg;3;3;1;0;2;0;1;0;2;1
Big;C1;I thought the system was easy to use.;likert;6;7;5;4;4;5;5;1;5;6
Small;A1;How mentally demanding was the task?;tlx;3;8;10;8;10;1;8;1;12;2
Small;A2;How physically demanding was the task?;tlx;2;7;4;8;5;2;2;2;12;2
Small;A3;How hurried or rushed was the pace of the ask?;tlx;3;8;11;8;13;12;7;3;12;3
Small;B1;How strenuous was the task?;borg;1;4;1;3;4;2;1;0;1;0
Small;C1;I thought the system was easy to use.;likert;5;1;2;2;2;2;1;1;1;4
